%uFEFFBonchester,M1
Bonchester is a British cheese awarded with a Protected Designation of Origin (PDO).,M2
"The cheese was first developed on the Easter Weens Farm in 1980, on the border lands of England and Scotland, in Bonchester Bridge. Bonchester Bridge is in Roxburghshire, Scotland. However, the cheese is currently not in production.",M3
"Shaped in small, round flat cylinders and coated with a white rind,",M2
Bonchester is made from unpasteurized Jersey cow%u2019s milk.,M2
A young Bonchester is clean and mild in flavor but often develops a stronger and more flavor as it ages.,M2
"The rind color also deepens from yellow to deep yellow depending on the degree of ripening. Close and smooth in texture,",M2
the cheese contains a minimum of 20% milk fat and a maximum of 60% water.,M2
Bonchester is a past bronze medal winner at the British Cheese Awards and was Champion Cheese at the Royal Highland Show.,M2
Made from cow's milk,M2
"Country of origin: Scotland and United Kingdom
Region: Roxburghshire",M3
"Type: soft, artisan",M2
"Fat content: 20%
Texture: close and smooth
Rind: natural
Color: yellow",M2
