Swaledale Blue Cheese Natural rind 2.3Kg (approx),M1
"Product Description
Taste profile
Creamy in colour with distinctive blue veins running throughout. Soft moist open texture",M2
complimented by a smooth nutty flavour with a slight tang.,M2
This cheese came second in the world cheese awards 2011.,M2
Available in the traditional natural rind.,M2
"Type of cheese
Hard pressed yet moist cows milk cheese which is a handmade, farmhouse type.",M2
 Made using locally sourced milk and vegetarian rennet.,M2
"Provenance
It is thought that cheese making was first brought to the Yorkshire dales in the 11th century by Cistercian monks who arrived from Normandy and settled in the local abbeys. They in turn passed on the cheese making techniques to the local farmers of Swaledale and thus, Swaledale cheese was born. The Reed family has been making Swaledale cheese in Richmond since 1987.",M3
The Swaledale recipe and methods are protected and accredited with Protected Designation of Origin (PDO) status. This is recognised world wide and safe guards the future production and quality of one of the dales most cherished treasures.,M2
"Best age & season
Available throughout the year due to the readiness of Swaledale cows milk. Best eaten at between 4 and 6 weeks old.",M5
"Serving suggestions
Cheese and wine are a match made in heaven and which wine you enjoy with which cheese relies a lot on personal preference. Our suggestion for this one is a beefy red.",M5
The cheese is also a fantastic cooking cheese and makes an indulgent blue cheese sauce.,M5
