Ticklemore,M1
A semi-hard English,M2
goats' cheese,M2
with a crumbly texture,M2
"and a mellow and complex flavour.
",M2
Country of Origin	British Isles,M3
Milk Variety	Goats',M2
"Style of Cheese	Hard
Vegetarian?	Yes
Organic?	No
Unpasteurised?	No
For Pregnant Women?	Yes
Ticklemore is a cool, crumbly - textured",M2
goats' milk cheese,M2
"with a mellow, yet subtle flavour,",M2
made on the Sharpham Estate in Devon.,M1
Robin Congdon originally created Ticklemore when he was farming on the Estate in the 1970s.,M3
Now the baton has passed to Debbie Mumford and Mark Sharman.,M3
