Colston Bassett Baby Stilton,M1
"An intensely rich and creamy Stilton,",M2
"with a deep, lingering, complex flavour.",M2
Country of Origin	British Isles,M3
Milk Variety	Cows',M2
"Style of Cheese	Blue
Vegetarian?	Yes
Organic?	No
Unpasteurised?	No
For Pregnant Women?	No",M2
"From the Colston Bassett Dairy in Nottinghamshire, the only hand-ladled Stilton,",M1
"producing an intensely rich and creamy cheese, with a deep, lingering, complex flavour.",M2
Milk type: Pasteurised cows%u2019 milk | Rennet: Vegetarian rennet |,M2
Cheesemaker: Billy Kevan,M1
County: Nottinghamshire,M3
Style: Creamy and rich,M2
Hand-ladled,M3
and made with vegetarian rennet,M2
little has altered at Colston Bassett since they started in 1913.,M3
 It is still owned by a co-operative of local dairy farmers who originally set-up the dairy.,M1
"These farmers still supply the dairy with all it%u2019s milk from local pastures, although have consolidated over the years from an original 18 to 4.
%u2022 Billy Kevan, the head cheese-maker is only the fourth to hold this title since 1920.",M1
Interesting Fact: During the Second World War Stilton production was stopped and Cheddar was made here.,M2
"Tastes: Creamy and rich: dissipating on the tongue, slightly sweet with a minerally tang.",M2
