Davidstow Cheddar,M1
Davidstow Cheddar has been made in north Cornwall for over 50 years to a traditional recipe.,M3
Davistow Cheddar is made from pasteurised milk,M2
is suitable for vegetarians,M2
"Mature Davidstow is specially matured and selected to give a smooth, rich and creamy full-bodied flavour,",M2
at the 2001 British Cheese Awards it won a silver medal.,M2
It is available prepacked and from the service counter at Waitrose.,M2
"Extra Mature Davidstow Cheddar is a well-developed Cheddar which has been selected to give a unique, rich, fuller flavour.
",M2
Uses: Serve Mature or Extra Mature Davidstow Cheddar in traditional West country style with a chunk of crusty bread,M5
and a glass of cider.,M5
Create a Cornish cheeseboard and serve with Cornish Brie and Cornish Village Green Goat's Cheese.,M5
"To eat: If serving on a cheeseboard remove the cheese from the fridge an hour before serving, to allow it to come to room temperature and to develop its full texture and flavour.",M5
