Denhay West Country Farmhouse Cheddar,M1
Denhay Farm Cheddar is traditionally hand-made,M3
using milk solely from the herd of Friesian cows at Denhay Farm in Dorset.,M2
"Denhay Cheddar is a West Country Farmhouse Cheddar which has Protected Designation of Origin (PDO) protection his means it has been made using local milk from one of four West country counties, (Dorset, Somerset, Devon or Cornwall). The PDO acts as a guarantee that the cheese has been made on the farm by hand, using authenticated methods.",M2
It is made from pasteurised milk,M2
"and is suitable for vegetarians, there are three varieties of Denhay Cheddar.",M2
Denhay Traditional West Country Farmhouse Cheddar is an award winning cheese (it won a silver medal at the British Cheese Awards in 2001),M2
and has a full distinctive flavour,M2
and a firm texture.,M2
It is typically matured for one year.,M3
Denhay West Country Farmhouse Extra Mature Cheddar is a vintage Cheddar which is typically matured for 16 months and Denhay West Country Farmhouse Mature Cheddar is matured for approximately 12 months.,M3
They are available prepacked from Waitrose.,M2
Uses: Serve for lunch in traditional West country style with a glass of cider,M5
and a chunk of warm crusty bread.,M5
"Include in cooking where a rich, distinctive Cheddar flavour is required eg in soufflés, omelettes and quiches.",M5
"To eat: If serving on a cheeseboard remove the cheese from the fridge an hour before serving, to allow it to come to room temperature and to develop its full texture and flavour.",M5
