Cornish Yarg,M1
"A mild flavoured semi-hard cow's milk vegetarian cheese with a slight citrus tang,",M2
Cornish Yarg has a moist and supple texture,M2
and is named after the couple who first made it (Yarg is Gray spelt backwards).,M3
The cheese is wrapped in nettles which give it a very subtle flavour and also provides an attractive colour contrast to the creamy white interior. As the cheese develops a natural greyish mould may develop on the nettles.,M3
Cornish Yarg won a gold medal at the British Cheese Awards in 2001 for the Best Flavour Added Cheese.,M2
"It is made from pasteurised milk,",M2
is suitable for vegetarians and is available from the service counter at 110 branches of Waitrose,M2
Uses: Serve with a selection of British cheeses on a cheeseboard,M5
"or slice and serve with warm bread, sliced apple or pear and a fruity chutney.",M5
"To eat: If serving on a cheeseboard remove the cheese from the fridge an hour before serving, to allow it to come to room temperature and to develop its full texture and flavour.",M5
